Date,device_SN,device_Model,device_Age,processor,cores,graphics,CPU_Utilization,Memory Utilization,diskIO Utilization,List Of Applications Running,Crashed Applications,IsApplicationCrashed
1/4/2024,000654JT55,PRODESK 600 G5 SFF,1,Intel(R) Core(TM) i5-9500T CPU @ 2.20GHz,6,Citrix Indirect Display Adapter|Intel(R) UHD Graphics 630,55,80,100,"Powerpoint, Excel, Chrome, Outlook, Games, Zoom"," Outlook, Games, Zoom",Y
1/4/2024,000654JT56,Vostro 3000,4,Intel(R) Core(TM) i5-8365U CPU @ 1.60GHz,8,Intel(R) HD Graphics 4600,55,45,80,"Outlook, Zoom, Chrome, Teams, Edge, Intellij"," Edge, Intellij",Y
1/4/2024,000654JT57,ELITEDESK 800 G5 DESKTOP MINI,3,Intel(R) Core(TM) i5-8365U CPU @ 1.60GHz,4,AMD Radeon(TM) R5 Graphics,45,50,10,"Chrome, Media Player, Image Editor, Teams",Null,N
1/4/2024,000654JT58,ELITEDESK 800 G5 DESKTOP MINI,4,Intel(R) Core(TM) i5-4570S CPU @ 2.90GHz,8,Intel(R) UHD Graphics 630,35,55,55,"Outlook, Zoom, Chrome, Teams, Edge, Intellij",Null,N
1/4/2024,000654JT59,ELITEDESK 800 G6 DESKTOP MINI PC,2,Intel(R) Core(TM) i5-9500T CPU @ 2.20GHz,4,AMD Radeon(TM) R5 Graphics,30,50,45,"Outlook, spotify, Games, Excel",Null,N
1/4/2024,000654JT60,ELITEBOOK G6,4,Intel(R) Core(TM) i5-8250U CPU @ 1.60GHz,6,Intel(R) UHD Graphics 630,30,10,10,"Teams, Games, Python",Null,N
1/4/2024,000654JT61,OPTIPLEX 7040,2,Intel(R) Core(TM) i7-9700 CPU @ 3.00GHz,4,Intel(R) HD Graphics 4600,100,70,55,"Outlook, VSCode, Chrome, spotify, Games, Excel"," Chrome, spotify, Games, Excel",Y
1/4/2024,000654JT62,ELITEBOOK G6,1,"AMD A10-9600P RADEON R5, 10 COMPUTE CORES 4C+6G",4,AMD Radeon(TM) R5 Graphics,80,60,30,"Outlook, Image Editor, Chrome, Teams, Games, Python","Games, Python",Y
1/4/2024,000654JT63,ELITEDESK 800 G6 DESKTOP MINI PC,3,Intel(R) Core(TM) i5-9500T CPU @ 2.20GHz,8,Intel(R) UHD Graphics 630,45,60,85,"Outlook, Python, Chrome, Teams, Games, Intellij","Games, Intellij",Y
1/4/2024,000654JT64,ELITEBOOK G6,3,Intel(R) Core(TM) i5-4570S CPU @ 2.90GHz,4,Intel(R) UHD Graphics 630,55,20,85,"Outlook, Zoom, Chrome, Teams, Edge, Intellij","Edge, Intellij",Y
1/4/2024,000654JT65,Inspiron 5000,3,Intel(R) Core(TM) i5-8500T CPU @ 2.10GHz,6,Intel(R) UHD Graphics 630,20,85,10,"Edge, Google Drive, Chrome, Teams, Spotify, Intellij"," Teams, Spotify, Intellij",Y
1/4/2024,000654JT66,PRODESK 400 G7,1,Intel(R) Core(TM) i5-8365U CPU @ 1.60GHz,8,AMD Radeon(TM) R5 Graphics,45,95,90,"Edge, Google Drive, Chrome, Teams, Spotify, Intellij"," Teams, Spotify, Intellij",Y
1/4/2024,000654JT67,PRODESK 600 G5 SFF,3,Intel(R) Core(TM) i5-10310U CPU @ 1.70GHz,4,Intel(R) UHD Graphics 630,95,70,80,"Outlook, VSCode, Chrome, spotify, Games, Excel","Games, Excel",Y
1/4/2024,000654JT68,ELITEBOOK G6,1,Intel(R) Core(TM) i5-8250U CPU @ 1.60GHz,4,Intel(R) UHD Graphics 630,95,30,100,"Edge, Google Drive, Chrome, Teams, Spotify, Intellij"," Spotify, Intellij",Y
1/4/2024,000654JT69,PRODESK 400 G4 DM (TAA),3,Intel(R) Core(TM) i7-9700 CPU @ 3.00GHz,4,Citrix Indirect Display Adapter|Intel(R) UHD Graphics,10,100,10,"Outlook, Image Editor, Chrome, Teams, Games, Python","Teams, Games, Python",Y
1/4/2024,000654JT70,Inspiron 5000,1,Intel(R) Core(TM) i5-8365U CPU @ 1.60GHz,8,Intel(R) UHD Graphics 630,50,50,35,"Powerpoint, Excel, Chrome, Outlook, Games, Zoom",Null,N
1/4/2024,000654JT71,ELITEDESK 800 G6 DESKTOP MINI PC,4,Intel(R) Core(TM) i5-8365U CPU @ 1.60GHz,8,Intel(R) UHD Graphics 630,20,20,90,"Edge, Google Drive, Chrome, Teams, Spotify, Intellij", Intellij,Y
1/4/2024,000654JT72,PRODESK 400 G7,1,Intel(R) Core(TM) i5-9500T CPU @ 2.20GHz,4,Citrix Indirect Display Adapter|Intel(R) UHD Graphics 630,20,55,55,"Outlook, Python, Chrome, Teams",Null,N
1/4/2024,000654JT73,ELITEBOOK G7 NOTEBOOK PC,2,Intel(R) Core(TM) i5-10500 CPU @ 3.10GHz,6,Intel(R) UHD Graphics 630,45,50,80,"Chrome, Media Player, Image Editor, Teams","Image Editor, Teams",Y
1/4/2024,000654JT74,ELITEBOOK G7 NOTEBOOK PC,2,Intel(R) Core(TM) i5-10310U CPU @ 1.70GHz,4,Intel(R) UHD Graphics 630,90,70,95,"Outlook, VSCode, Chrome, spotify, Games, Excel","VSCode, Chrome",Y
1/4/2024,000654JT75,ELITEBOOK G6,2,Intel(R) Core(TM) i5-4570S CPU @ 2.90GHz,4,Intel(R) UHD Graphics 630,85,30,90,"Outlook, Python, Chrome, Teams, Games, Intellij","Games, Intellij",Y
1/4/2024,000654JT76,ELITEBOOK G7 NOTEBOOK PC,2,Intel(R) Core(TM) i5-8250U CPU @ 1.60GHz,8,Citrix Indirect Display Adapter|Intel(R) UHD Graphics,10,50,75,"Outlook, Zoom, Chrome, Teams, Edge, Intellij","Edge, Intellij",Y
1/4/2024,000654JT77,PRODESK 600 G5 SFF,3,Intel(R) Core(TM) i5-8365U CPU @ 1.60GHz,4,Citrix Indirect Display Adapter|Intel(R) UHD Graphics,35,85,20,"Chrome, Media Player, Image Editor, Teams","Image Editor, Teams",Y
1/4/2024,000654JT78,Vostro 3000,2,Intel(R) Core(TM) i5-10310U CPU @ 1.70GHz,6,Intel(R) UHD Graphics 630,45,90,60,"Edge, Google Drive, Chrome, Teams, Spotify, Intellij", Intellij,Y
1/4/2024,000654JT79,PRODESK 400 G4 DM (TAA),1,Intel(R) Core(TM) i5-10310U CPU @ 1.70GHz,8,Intel(R) UHD Graphics 630,55,60,95,"Outlook, Python, Chrome, Teams, Games, Intellij","Games, Intellij",Y
1/4/2024,000654JT80,ELITEDESK 800 G5 DESKTOP MINI,3,Intel(R) Core(TM) i5-8250U CPU @ 1.60GHz,4,Intel(R) UHD Graphics 630,35,20,10,"Powerpoint, Excel, Chrome",Null,N
1/4/2024,000654JT81,PRODESK 600 G5 SFF,2,Intel(R) Core(TM) i5-4570S CPU @ 2.90GHz,6,Intel(R) UHD Graphics 630,50,75,80,"Chrome, Media Player, Image Editor, Teams","Image Editor, Teams",Y
1/4/2024,000654JT82,200 G3 AIO,1,Intel(R) Core(TM) i7-9700 CPU @ 3.00GHz,8,Citrix Indirect Display Adapter|Intel(R) UHD Graphics 630,50,70,55,"Outlook, Image Editor, Chrome",Null,N
1/4/2024,000654JT83,200 G3 AIO,4,Intel(R) Core(TM) i7-9700 CPU @ 3.00GHz,4,AMD Radeon(TM) R5 Graphics,90,70,45,"Chrome, Media Player, Image Editor, Teams","Image Editor, Teams",Y
1/4/2024,000654JT84,PRODESK 400 G4 DM (TAA),1,Intel(R) Core(TM) i7-9700 CPU @ 3.00GHz,8,Intel(R) UHD Graphics 630,45,55,70,"Chrome, Media Player, Image Editor, Teams","Image Editor, Teams",Y
1/4/2024,000654JT85,OPTIPLEX 7040,4,Intel(R) Core(TM) i5-8500T CPU @ 2.10GHz,4,Intel(R) UHD Graphics 630,50,60,60,"Outlook, Image Editor, Chrome, Teams",Null,N
1/4/2024,000654JT86,ELITEBOOK X360 1030 G3,3,Intel(R) Core(TM) i5-9500T CPU @ 2.20GHz,6,AMD Radeon(TM) R5 Graphics,55,85,20,"Edge, Google Drive, Chrome, Teams, Spotify, Intellij", Intellij,Y
1/4/2024,000654JT87,Inspiron 5000,2,Intel(R) Core(TM) i5-8365U CPU @ 1.60GHz,4,Citrix Indirect Display Adapter|Intel(R) UHD Graphics 620,60,80,80,"Edge, Google Drive, Chrome, Teams, Spotify, Intellij","Google Drive, Chrome",Y
1/4/2024,000654JT88,PRODESK 400 G4 DM (TAA),4,Intel(R) Core(TM) i5-10310U CPU @ 1.70GHz,6,Intel(R) UHD Graphics 620,90,70,95,"Powerpoint, Excel, Chrome, Outlook, Games, Zoom","Outlook, Games",Y
1/4/2024,000654JT89,Vostro 3000,1,Intel(R) Core(TM) i5-8365U CPU @ 1.60GHz,8,Intel(R) UHD Graphics 630,20,85,55,"Outlook, Zoom, Chrome, Teams, Edge, Intellij","Edge, Intellij",Y
1/4/2024,000654JT90,PRODESK 400 G4 DM (TAA),3,Intel(R) Core(TM) i5-8500T CPU @ 2.10GHz,8,Intel(R) UHD Graphics 630,10,90,90,"Powerpoint, Excel, Chrome, Outlook, Games, Zoom","Outlook, Games",Y
1/4/2024,000654JT91,Vostro 3000,1,Intel(R) Core(TM) i5-10310U CPU @ 1.70GHz,4,Intel(R) UHD Graphics 630,10,90,10,"Chrome, Media Player, Image Editor, Teams","Image Editor, Teams",Y
1/4/2024,000654JT92,Vostro 3000,4,Intel(R) Core(TM) i5-9500T CPU @ 2.20GHz,6,Intel(R) UHD Graphics 630,30,75,90,"Edge, Google Drive, Chrome, Teams, Spotify, Intellij","Spotify, Intellij",Y
1/4/2024,000654JT93,ELITEDESK 800 G5 DESKTOP MINI,4,Intel(R) Core(TM) i5-8365U CPU @ 1.60GHz,4,Intel(R) UHD Graphics 630,55,70,85,"Outlook, Zoom, Chrome, Teams, Edge, Intellij","Teams, Edge, Intellij",Y
1/4/2024,000654JT94,Vostro 3000,4,Intel(R) Core(TM) i5-9500T CPU @ 2.20GHz,6,Citrix Indirect Display Adapter|Intel(R) UHD Graphics 630,85,95,100,"Outlook, VSCode, Chrome, spotify, Games, Excel"," Games, Excel",Y
1/4/2024,000654JT95,PRODESK 600 G5 SFF,4,Intel(R) Core(TM) i5-4570S CPU @ 2.90GHz,8,Citrix Indirect Display Adapter|Intel(R) UHD Graphics 630,10,95,60,"Outlook, Zoom, Chrome, Teams, Edge, Intellij"," Edge, Intellij",Y
1/4/2024,000654JT96,PRODESK 400 G7,3,Intel(R) Core(TM) i5-8250U CPU @ 1.60GHz,6,AMD Radeon(TM) R5 Graphics,80,85,50,"Chrome, Media Player, Image Editor, Teams"," Image Editor, Teams",Y
1/4/2024,000654JT97,ELITEBOOK G6,1,Intel(R) Core(TM) i5-8365U CPU @ 1.60GHz,6,Intel(R) UHD Graphics 630,45,80,35,"Outlook, VSCode, Chrome, spotify, Games, Excel", Excel,Y
1/4/2024,000654JT98,ELITEDESK 800 G5 DESKTOP MINI,2,Intel(R) Core(TM) i5-8500T CPU @ 2.10GHz,6,Intel(R) UHD Graphics 630,55,85,90,"Outlook, Zoom, Chrome, Teams, Edge, Intellij", Intellij,Y
1/4/2024,000654JT99,OPTIPLEX 7040,1,Intel(R) Core(TM) i5-8500T CPU @ 2.10GHz,8,Intel(R) UHD Graphics 630,70,50,55,"Outlook, Zoom, Chrome, Teams, Edge, Intellij","Chrome,Edge",Y
1/4/2024,000654JT100,PRODESK 600 G5 SFF,4,Intel(R) Core(TM) i5-10500 CPU @ 3.10GHz,4,Intel(R) UHD Graphics 630,80,70,20,"Edge, Google Drive, Chrome, Teams, Spotify, Intellij","Chrome, Teams, Games,",Y
1/4/2024,000654JT101,Inspiron 5000,4,Intel(R) Core(TM) i5-9500T CPU @ 2.20GHz,8,Intel(R) HD Graphics 4600,95,35,50,"Outlook, Python, Chrome, Teams, Games, Intellij","Outlook, Intellij",Y
1/4/2024,000654JT102,PRODESK 400 G7,3,Intel(R) Core(TM) i5-9500T CPU @ 2.20GHz,6,Intel(R) UHD Graphics 630,90,75,75,"Outlook, Python, Chrome, Teams, Games, Intellij","Outlook, Intellij",Y
1/4/2024,000654JT103,ELITEBOOK G7 NOTEBOOK PC,4,Intel(R) Core(TM) i5-4570S CPU @ 2.90GHz,8,Intel(R) UHD Graphics 630,100,35,60,"Outlook, VSCode, Chrome, spotify, Games, Excel","VSCode, Chrome",Y
1/4/2024,000654JT104,Inspiron 5000,2,Intel(R) Core(TM) i5-9500T CPU @ 2.20GHz,4,AMD Radeon(TM) R5 Graphics,35,10,45,"Outlook, Zoom, Chrome, Teams, Edge, Intellij","Teams, Edge, Intellij",Y
1/4/2024,000654JT105,ELITEBOOK G6,2,Intel(R) Core(TM) i5-8500T CPU @ 2.10GHz,4,Intel(R) UHD Graphics 630,45,75,20,"Edge, Google Drive, Chrome, Teams, Spotify, Intellij",Intellij,Y
1/4/2024,000654JT106,Chromebook 14,1,Intel(R) Core(TM) i5-10500 CPU @ 3.10GHz,6,Intel(R) UHD Graphics 630,55,20,90,"Outlook, Python, Chrome, Teams, Games, Intellij","Games, Intellij",Y
1/4/2024,000654JT107,Inspiron 5000,3,Intel(R) Core(TM) i5-10500 CPU @ 3.10GHz,6,AMD Radeon(TM) R5 Graphics,45,85,45,"Outlook, Python, Chrome, Teams, Games, Intellij","Chrome, Teams, Games,",Y
1/4/2024,000654JT108,PRODESK 400 G4 DM (TAA),4,"AMD A10-9600P RADEON R5, 10 COMPUTE CORES 4C+6G",6,Citrix Indirect Display Adapter|Intel(R) UHD Graphics 620,60,50,45,"Powerpoint, Excel, Chrome, Outlook, Games, Zoom","Chrome, Outlook, Games",Y
1/4/2024,000654JT109,ELITEBOOK X360 1030 G3,3,Intel(R) Core(TM) i5-8250U CPU @ 1.60GHz,8,Intel(R) UHD Graphics 630,100,20,60,"Outlook, Python, Chrome, Teams, Games, Intellij","Teams, Games, Python",Y
1/4/2024,000654JT110,200 G3 AIO,4,"AMD A10-9600P RADEON R5, 10 COMPUTE CORES 4C+6G",6,Citrix Indirect Display Adapter|Intel(R) UHD Graphics 620,70,100,95,"Powerpoint, Excel, Chrome, Outlook, Games, Zoom"," Chrome, Outlook, Games",Y
1/4/2024,000654JT111,PRODESK 400 G4 DM (TAA),1,Intel(R) Core(TM) i5-8365U CPU @ 1.60GHz,4,Intel(R) UHD Graphics 630,85,45,100,"Outlook, VSCode, Chrome, spotify, Games, Excel","Outlook, VSCode, Chrome",Y
1/4/2024,000654JT112,PRODESK 400 G7,3,"AMD A10-9600P RADEON R5, 10 COMPUTE CORES 4C+6G",6,Intel(R) UHD Graphics 630,60,30,75,"Outlook, Image Editor, Chrome, Teams, Games, Python","Teams, Edge",Y
1/4/2024,000654JT113,Inspiron 5000,3,Intel(R) Core(TM) i5-8250U CPU @ 1.60GHz,8,Citrix Indirect Display Adapter|Intel(R) UHD Graphics 630,85,45,70,"Edge, Google Drive, Chrome, Teams, Spotify, Intellij",Outlook,Y
1/4/2024,000654JT114,OPTIPLEX 7040,4,Intel(R) Core(TM) i5-8365U CPU @ 1.60GHz,4,Citrix Indirect Display Adapter|Intel(R) UHD Graphics 630,75,90,85,"Chrome, Media Player, Image Editor, Teams","Outlook, Image Editor, Chrome",Y
